                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2383,                  2.987,                 1.2239,                 1.2266,                 3.6589,                 1.2213,                0.91007,                0.05202,                0.06715,                0.05141,                      0,                      0,                      0,                      0,                      0,                      0,               0.067393,             0.00049655,             0.00049655
                      2,                 1.2624,                 2.2363,                  1.241,                 1.2604,                 3.0494,                 1.2373,                0.77751,                0.08121,                0.07803,                0.05273,                      0,                      0,                      0,                      0,                      0,                      0,               0.034362,             0.00079923,             0.00079923
                      3,                 1.2564,                 1.9799,                 1.2379,                 1.2517,                  2.788,                 1.2297,                0.74524,                0.12458,                0.10353,                 0.0753,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011338,             0.00090392,             0.00090392
                      4,                 1.2751,                 1.8817,                 1.2395,                  1.295,                  2.666,                 1.2322,                0.72017,                0.10601,                0.08833,                0.06065,                      0,                      0,                      0,                      0,                      0,                      0,               0.000609,               0.000609,               0.000609
                      5,                 1.2552,                 1.7927,                 1.2306,                  1.272,                 2.5791,                 1.2185,                0.65718,                0.14458,                0.12507,                0.09212,                      0,                      0,                      0,                      0,                      0,                      0,               0.000609,               0.000609,               0.000609
                      1,                 1.2313,                  2.979,                 1.2198,                 1.2196,                 3.6525,                 1.2161,                0.87972,                0.06139,                0.07089,                0.05494,                      0,                      0,                      0,                      0,                      0,                      0,               0.067393,             0.00049655,             0.00049655
                      2,                 1.2595,                 2.2247,                  1.239,                 1.2588,                 3.0392,                 1.2369,                0.78097,                0.10778,                0.08968,                0.06523,                      0,                      0,                      0,                      0,                      0,                      0,               0.034362,             0.00079923,             0.00079923
                      3,                 1.2509,                 1.9674,                 1.2329,                 1.2495,                 2.7728,                 1.2243,                0.74027,                0.13395,                0.10507,                0.07733,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011338,             0.00090392,             0.00090392
                      4,                 1.2723,                 1.8731,                 1.2365,                 1.2899,                 2.6608,                  1.228,                0.73067,                 0.1255,                0.10651,                0.07739,                      0,                      0,                      0,                      0,                      0,                      0,               0.000609,               0.000609,               0.000609
                      5,                 1.2552,                 1.7919,                 1.2313,                 1.2708,                 2.5799,                   1.22,                0.67979,                0.14574,                0.12488,                 0.0922,                      0,                      0,                      0,                      0,                      0,                      0,               0.000609,               0.000609,               0.000609
